NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável,Situação do domicílio (Código),Situação do domicílio,Sexo do responsável pelo domicílio (Código),Sexo do responsável pelo domicílio
6,Município,45,Pessoas,33292,1100015,Alta Floresta D'Oeste - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,68137,1100023,Ariquemes - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,8228,1100031,Cabixi - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,72778,1100049,Cacoal - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,20970,1100056,Cerejeiras - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,24864,1100064,Colorado do Oeste - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,11275,1100072,Corumbiara - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,13548,1100080,Costa Marques - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,24018,1100098,Espigão D'Oeste - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,36102,1100106,Guajará-Mirim - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,47981,1100114,Jaru - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,94705,1100122,Ji-Paraná - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,27642,1100130,Machadinho D'Oeste - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,15377,1100148,Nova Brasilândia D'Oeste - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,52095,1100155,Ouro Preto do Oeste - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,47900,1100189,Pimenta Bueno - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,292399,1100205,Porto Velho - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,27491,1100254,Presidente Médici - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,5773,1100262,Rio Crespo - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,43783,1100288,Rolim de Moura - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,11223,1100296,Santa Luzia D'Oeste - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,44394,1100304,Vilhena - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,18840,1100320,São Miguel do Guaporé - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,13446,1100338,Nova Mamoré - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,19570,1100346,Alvorada D'Oeste - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,10641,1100403,Alto Paraíso - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,11046,1100502,Novo Horizonte do Oeste - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,5107,1100601,Cacaulândia - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,15248,1100700,Campo Novo de Rondônia - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,10594,1100809,Candeias do Jamari - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,4182,1100908,Castanheiras - RO,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
