NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável
6,Município,45,Pessoas,25506,1100015,Alta Floresta D'Oeste - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,105896,1100023,Ariquemes - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,6289,1100031,Cabixi - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,87877,1100049,Cacoal - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,17959,1100056,Cerejeiras - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,18639,1100064,Colorado do Oeste - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,8749,1100072,Corumbiara - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,17031,1100080,Costa Marques - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,32712,1100098,Espigão D'Oeste - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,47048,1100106,Guajará-Mirim - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,55806,1100114,Jaru - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,131560,1100122,Ji-Paraná - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,37899,1100130,Machadinho D'Oeste - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,21670,1100148,Nova Brasilândia D'Oeste - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,39840,1100155,Ouro Preto do Oeste - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,37786,1100189,Pimenta Bueno - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,511219,1100205,Porto Velho - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,22337,1100254,Presidente Médici - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,3790,1100262,Rio Crespo - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,56664,1100288,Rolim de Moura - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,8362,1100296,Santa Luzia D'Oeste - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,93745,1100304,Vilhena - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,24059,1100320,São Miguel do Guaporé - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,28255,1100338,Nova Mamoré - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,16902,1100346,Alvorada D'Oeste - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,13993,1100379,Alto Alegre dos Parecis - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,20569,1100403,Alto Paraíso - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,38450,1100452,Buritis - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,10161,1100502,Novo Horizonte do Oeste - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,6414,1100601,Cacaulândia - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,14354,1100700,Campo Novo de Rondônia - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,24719,1100809,Candeias do Jamari - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,3583,1100908,Castanheiras - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,10364,1100924,Chupinguaia - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,21720,1100940,Cujubim - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,9933,1101005,Governador Jorge Teixeira - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,10155,1101104,Itapuã do Oeste - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,10786,1101203,Ministro Andreazza - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,12308,1101302,Mirante da Serra - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,16032,1101401,Monte Negro - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,7796,1101435,Nova União - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,5802,1101450,Parecis - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,2417,1101468,Pimenteiras do Oeste - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,3456,1101476,Primavera de Rondônia - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,6048,1101484,São Felipe D'Oeste - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,19353,1101492,São Francisco do Guaporé - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,12617,1101500,Seringueiras - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,4966,1101559,Teixeirópolis - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,11348,1101609,Theobroma - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,13198,1101708,Urupá - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,10999,1101757,Vale do Anari - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,8138,1101807,Vale do Paraíso - RO,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,14120,1200013,Acrelândia - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,6863,1200054,Assis Brasil - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,24311,1200104,Brasiléia - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,9503,1200138,Bujari - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,10820,1200179,Capixaba - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,82075,1200203,Cruzeiro do Sul - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,17038,1200252,Epitaciolândia - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,32372,1200302,Feijó - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,7685,1200328,Jordão - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,17545,1200336,Mâncio Lima - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,8765,1200344,Manoel Urbano - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,17401,1200351,Marechal Thaumaturgo - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,18336,1200385,Plácido de Castro - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,11059,1200393,Porto Walter - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,377057,1200401,Rio Branco - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,17464,1200427,Rodrigues Alves - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,6021,1200435,Santa Rosa do Purus - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,21369,1200450,Senador Guiomard - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,42451,1200500,Sena Madureira - AC,2016,2016,9324,População residente estimada
6,Município,45,Pessoas,39427,1200609,Tarauacá - AC,2016,2016,9324,População residente estimada
